Stockname,Mentions,countpositive,countnegative,countneutral,verbs,aggscoresum
TLRY,14.0,5.0,0.0,1.0,"['go', 'get', 'keep', 'buy', 'tlry', 'respond', 'know', 'control', 'load', 'rememr', 'regret', 'hit', 'stop', 'edit', 'comment', 'think', 'burn', 'play', 'sell', 'lose', 'position', 'do']",493.0
TSLA,13.0,4.0,5.0,3.0,"['make', 'get', 'go', 'want', 'overvalue', 'sell', 'understand', 'buy', 'lose', 'volatile', 't', 'put', 'see', 'lcid', 'learn', 'recommend', 'affect', 'clov', 'tell', 'screw', 'think', 'help', 'warn', 'end', 'purchase', 'forget', 'seem', 'survive', 'create', 'cut', 'manage', 'offer', 'join', 'look', 'do', 'dress', 'sign', 'keep', 'hold', 'short', 'reflect', 'find', 'own', 'hope', 'resold', 'say', 'agree', 'love', 'move', 'hate', 'tank', 'pay', 'ring', 'represent', 'fix']",1122.0
CEO,10.0,6.0,2.0,2.0,"['make', 'think', 'do', 'produce', 'lead', 'want', 'categorize', 'catch', 'mean', 'plan', 'go', 'harm', 'replace', 'push', 'track', 'suffer', 'construe', 'happen', 'base', 'deliver', 'develop', 'design', 'innovate', 'ignore', 'charge', 'stop', 'ask', 'take', 'spend', 'turn', 'overvalue', 'expect', 'name', 'put', 'hope', 'invest', 'call', 'agree', 'need', 'convince', 'found', 'dump', 'sell', 'cash', 'crash', 'collaborate', 'orient', 'lieve', 'identify', 'say']",330.0
GME,6.0,3.0,2.0,0.0,"['show', 'go', 'rememr', 'know', 'mean', 'pay', 'read', 'see', 'do', 'get', 'upvote', 'ignore', 'write', 'use', 'want', 'associate', 'tell', 'pass', 'find', 'buy', 'celebrate', 'lose', 'learn', 'recommend', 'put', 'affect', 'make', 'clov', 'lcid', 'screw', 'kick']",62.0
ICE,5.0,3.0,2.0,0.0,"['make', 'go', 'come', 'understand', 'sell', 'produce', 'try', 'lol', 's', 'compare', 'adopt', 'reward', 'say', 'fail', 'want', 'think', 'realize', 'read', 'note', 'save', 'develop', 'evs', 'ramp', 'overestimate', 'underestimate', 'popularize', 'establish', 'need', 'sunset', 'start', 'saturate', 'compete', 'do', 'shift']",54.0
NVDA,4.0,0.0,0.0,0.0,[],
X,4.0,3.0,0.0,1.0,"['model', 'do', 'claim', 'sell', 'work', 'offer', 'see', 'compare', 'fund', 'reach', 'rivian', 'produce', 'run', 'found', 'buy', 'speck', 'say', 'trade', 'push', 'make', 'create', 'merge', 'capture']",71.0
AI,3.0,2.0,0.0,0.0,"['make', 'produce', 'catch', 'categorize', 'lead', 'think', 'go', 'charge', 'stop', 'innovate', 'ask', 'plan', 'say', 'base', 'happen', 'develop', 'design', 'drive', 'ignore']",93.0
IMO,3.0,3.0,0.0,0.0,"['go', 'understand', 'vw', 'buy', 'make', 'develop', 'power', 'suspect', 'dump', 'gut', 'see', 'split', 'at', 'move', 'base', 'fix', 'back', 'lead', 'happen', 'short', 'look', 'loom', 'lose', 'hope', 'own', 'find', 'reflect', 'track']",187.0
SNDL,2.0,1.0,0.0,0.0,['get'],-8.0
B,2.0,0.0,1.0,0.0,"['require', 'curb', 'go', 'purchase', 'help', 'keep', 'use', 'borrow']",46.0
ATH,2.0,2.0,0.0,0.0,"['buy', 'hit', 'respond', 'edit', 'stop', 'comment', 'love']",61.0
TTM,2.0,2.0,0.0,0.0,"['value', 'make', 'operate', 'tell', 'need', 'want', 'hit', 't', 'm']",88.0
IRS,2.0,0.0,2.0,0.0,"['buy', 'investigate', 'use', 'keep', 'do', 'purchase', 'create', 'put', 'stock', 'launder', 'take', 'realize', 'split', 'pay', 'qualify', 'argue', 'sue', 'mean', 'rent', 'allow', 'exist', 'live', 'close', 'think', 'apply', 'know', 'aid', 'protect']",37.0
U,2.0,1.0,1.0,0.0,"['give', 'shit', 'try', 'cripple', 'recruit', 'get', 'understand', 'hire', 'take', 'know', 'doubt', 'play']",56.0
AMD,2.0,0.0,0.0,0.0,[],
D,2.0,2.0,0.0,0.0,"['mean', 'orient', 'spend', 'make', 'collaborate', 'identify', 'think', 'found', 'turn', 'deliver', 'take', 'stand']",30.0
F,2.0,1.0,0.0,0.0,"['know', 'destroy', 'remove', 'at', 'look', 'double', 'check', 'get']",45.0
PLTR,2.0,1.0,0.0,1.0,"['think', 'compare', 'point', 'trade', 'pltr', 'require', 'use', 'start', 'do', 'include']",38.0
IBM,2.0,2.0,0.0,0.0,"['laugh', 'think', 'lose', 'invest', 'try', 'look', 'point', 'fail', 'rememr', 'overprice', 'overthrow', 'keep', 'seem', 'lieve', 'disappear', 'exist', 'gain', 'make', 'know', 'replace', 'happen', 'fall', 'pretend', 'limit', 'adapt', 'do', 'trade', 'pltr', 'compare', 'require', 'use', 'start', 'include', 'sell', 'overvalue', 'say', 'compete', 'share', 'fanboy', 'monetize', 'grow']",36.0
BP,1.0,1.0,0.0,0.0,"['value', 'make', 'operate', 'tell', 'need']",66.0
GE,1.0,1.0,0.0,0.0,"['laugh', 'look', 'lose', 'invest', 'try', 'replace', 'happen', 'know', 'make', 'rememr', 'gain', 'fall', 'seem', 'grow', 'lieve', 'overthrow', 'overprice', 'exist', 'think', 'fail', 'adapt', 'pretend', 'disappear', 'fanboy', 'sell', 'limit', 'monetize', 'share', 'overvalue', 'say', 'compete', 'keep']",10.0
SO,1.0,1.0,0.0,0.0,"['outperform', 'start', 'know', 'keep', 'realize', 'pay', 'help', 'work', 'drive', 'produce', 'invest', 'slow', 'see', 'come', 'chip', 'exceed', 'sell', 'call', 'show', 'evolve']",-10.0
AAPL,1.0,1.0,0.0,0.0,"['laugh', 'look', 'lose', 'invest', 'try', 'replace', 'happen', 'know', 'make', 'rememr', 'gain', 'fall', 'seem', 'grow', 'lieve', 'overthrow', 'overprice', 'exist', 'think', 'fail', 'adapt', 'pretend', 'disappear', 'fanboy', 'sell', 'limit', 'monetize', 'share', 'overvalue', 'say', 'compete', 'keep']",10.0
